#,Arquitectura,Activación,Optim/LR,Batch/Epochs,Regularización,MSE (val),MAE (val),RMSE (val)
1,"[64, 32]",relu,adam/0.001,64/60,—,2690290688,34898,51868
2,"[128, 64, 32]",relu,adam/0.001,64/60,—,2662400256,34504,51598
3,"[32, 16]",relu,adam/0.001,64/60,—,2839648000,36391,53288
4,"[128, 64, 32]",tanh,adam/0.001,64/60,—,2637513984,34295,51357
5,"[128, 64, 32]",leaky_relu,adam/0.001,64/60,—,2639161856,34643,51373
6,"[128, 64, 32]",relu,sgd/0.01,64/60,—,2758229248,37531,52519
7,"[128, 64, 32]",relu,rmsprop/0.001,64/60,—,2644834816,33534,51428
8,"[128, 64, 32]",relu,adam/0.01,64/60,—,2800043008,35807,52915
9,"[128, 64, 32]",relu,adam/0.0001,64/60,—,2779448832,35790,52720
10,"[128, 64, 32]",relu,adam/0.001,64/60,L2=0.0001,2693670912,35419,51901
11,"[128, 64, 32]",relu,adam/0.001,64/60,drop=0.3,2706255360,35883,52022
12,"[128, 64, 32]",relu,adam/0.001,64/60,L1=1e-05,2613474304,34513,51122
13,"[128, 64, 32]",relu,adam/0.001,256/60,—,2648952576,35062,51468
14,"[128, 64, 32]",relu,adam/0.001,64/100,L2=0.0001+drop=0.2+BN,2597420288,34503,50965
